step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,456,8,0.13572875529344727,0.0,0.0,0.1660403102902516,0.0,0.0,,,,,,
2,848,16,0.15762450771531197,0.0,0.0,,,,,,,,,
3,1112,24,0.1993473024274863,0.0,0.0,,,,,,,,,
4,1376,32,0.13222174425402045,0.625,0.625,,,,,,,,,
5,1768,40,0.06511714022162778,0.75,0.75,,,,,,,,,
6,2288,48,0.028406920337465637,0.875,0.875,,,,,,,,,
7,2616,56,0.046446174729047926,0.875,0.875,,,,,,,,,
8,3008,64,0.03382761014550246,0.875,0.875,,,,,,,,,
9,3336,72,0.05523430115287192,0.75,0.75,0.04235731138079427,0.75,0.75,,,,,,
10,3728,80,0.04092080279544461,0.75,0.75,,,,,,,,,
11,4248,88,0.04094445199691109,0.625,0.625,,,,,,,,,
12,4512,96,0.059179573978472046,0.75,0.75,,,,,,,,,
13,4840,104,0.05022678380087019,0.75,0.75,,,,,,,,,
14,5360,112,0.03435771212421969,0.75,0.75,,,,,,,,,
15,5624,120,0.05144001204054802,0.75,0.75,,,,,,,,,
16,5952,128,0.036041535362019206,1.0,1.0,,,,,,,,,
17,6280,136,0.033445351422298694,1.0,1.0,0.04814551532113304,0.75,0.75,,,,,,
18,6672,144,0.045959943524794655,0.875,0.875,,,,,,,,,
19,7000,152,0.028019110806519164,1.0,1.0,,,,,,,,,
20,7328,160,0.028730755846248946,1.0,1.0,,,,,,,,,
21,7720,168,0.04438547669516993,0.875,0.875,,,,,,,,,
22,8048,176,0.05883697433874476,0.75,0.75,,,,,,,,,
23,8440,184,0.031623276878866215,1.0,1.0,,,,,,,,,
24,8704,192,0.0353219291678397,1.0,1.0,,,,,,,,,
25,9096,200,0.04182014601149906,0.75,0.75,0.0383070742583368,0.875,0.875,,,,,,
26,9424,208,0.03788772984306706,1.0,1.0,,,,,,,,,
27,9816,216,0.0364301965253253,0.875,0.875,,,,,,,,,
28,10208,224,0.03253529769329664,1.0,1.0,,,,,,,,,
29,10472,232,0.033786815406056124,1.0,1.0,,,,,,,,,
30,10864,240,0.02223369358815641,1.0,1.0,,,,,,,,,
31,11256,248,0.023647993058936362,1.0,1.0,,,,,,,,,
32,11648,256,0.026259408148907825,1.0,1.0,,,,,,,,,
33,12040,264,0.06419634408511532,0.625,0.625,0.03305205593205755,1.0,1.0,,,,,,
34,12432,272,0.05328457582129583,0.75,0.75,,,,,,,,,
35,12760,280,0.02450470282998867,1.0,1.0,,,,,,,,,
36,13088,288,0.03833025976072531,0.875,0.875,,,,,,,,,
37,13416,296,0.02704975123741315,1.0,1.0,,,,,,,,,
38,13808,304,0.03464562309925289,1.0,1.0,,,,,,,,,
39,14264,312,0.036939402773943066,0.75,0.75,,,,,,,,,
40,14656,320,0.03901721389433078,0.875,0.875,,,,,,,,,
41,14984,328,0.03999969707522541,0.875,0.875,0.03970418013632298,0.875,0.875,,,,,,
42,15312,336,0.03833020317740739,0.875,0.875,,,,,,,,,
43,15640,344,0.039381278187967834,0.75,0.75,,,,,,,,,
44,15904,352,0.0411389312002575,0.75,0.75,,,,,,,,,
45,16168,360,0.04181410869059618,0.875,0.875,,,,,,,,,
46,16432,368,0.036869988759281117,0.875,0.875,,,,,,,,,
47,16760,376,0.035441848028451205,0.875,0.875,,,,,,,,,
48,17216,384,0.02655662069887123,0.875,0.875,,,,,,,,,
49,17608,392,0.03149806101651242,0.75,0.75,0.028837612437516025,0.875,0.875,,,,,,
50,17872,400,0.038421474249917084,0.875,0.875,,,,,,,,,
51,18264,408,0.03340144905378111,0.875,0.875,,,,,,,,,
52,18656,416,0.027564991801918955,1.0,1.0,,,,,,,,,
53,19048,424,0.02526226827719559,0.875,0.875,,,,,,,,,
54,19440,432,0.026837814838315047,1.0,1.0,,,,,,,,,
55,19768,440,0.024066527393180874,1.0,1.0,,,,,,,,,
56,20096,448,0.030038525882220713,1.0,1.0,,,,,,,,,
57,20360,456,0.03168583605904132,1.0,1.0,0.029169536059052918,1.0,1.0,,,,,,
58,20752,464,0.02209886828932213,1.0,1.0,,,,,,,,,
59,21080,472,0.039972500841075086,0.875,0.875,,,,,,,,,
60,21472,480,0.02964890718338817,1.0,1.0,,,,,,,,,
61,21864,488,0.022770750301860973,1.0,1.0,,,,,,,,,
62,22128,496,0.047774604436053775,0.875,0.875,,,,,,,,,
63,22520,504,0.043722973166926145,0.875,0.875,,,,,,,,,
64,22912,512,0.024143181845817402,1.0,1.0,,,,,,,,,
65,23304,520,0.024509132467501332,1.0,1.0,0.030740482347124874,1.0,1.0,,,,,,
66,23568,528,0.03239001934154658,1.0,1.0,,,,,,,,,
67,23960,536,0.019795318590283082,1.0,1.0,,,,,,,,,
68,24352,544,0.020937275864610763,1.0,1.0,,,,,,,,,
69,24808,552,0.03383749544587252,1.0,1.0,,,,,,,,,
70,25136,560,0.03139672282960964,0.875,0.875,,,,,,,,,
71,25528,568,0.03246788501506671,1.0,1.0,,,,,,,,,
72,25920,576,0.017823698400073532,1.0,1.0,,,,,,,,,
73,26312,584,0.031797540487799175,0.875,0.875,0.0390005892766307,0.75,0.75,,,,,,
74,26640,592,0.026580509786494077,1.0,1.0,,,,,,,,,
75,27096,600,0.0345621667739137,0.875,0.875,,,,,,,,,
76,27424,608,0.045398871309123935,0.75,0.75,,,,,,,,,
77,27624,616,0.04774688073977207,0.875,0.875,,,,,,,,,
78,27952,624,0.03564141744258814,0.875,0.875,,,,,,,,,
79,28280,632,0.032592493105912584,1.0,1.0,,,,,,,,,
80,28672,640,0.027480304482160132,1.0,1.0,,,,,,,,,
81,29000,648,0.03110762309731945,1.0,1.0,0.06661354220084223,0.75,0.75,,,,,,
82,29392,656,0.024410312743857507,1.0,1.0,,,,,,,,,
83,29720,664,0.03892573251016439,0.875,0.875,,,,,,,,,
84,30176,672,0.027009323519721098,0.875,0.875,,,,,,,,,
85,30568,680,0.014680525435445207,1.0,1.0,,,,,,,,,
86,30896,688,0.04729167304851581,0.75,0.75,,,,,,,,,
87,31288,696,0.029554240998380315,1.0,1.0,,,,,,,,,
88,31552,704,0.04776579105644487,0.75,0.75,,,,,,,,,
89,31944,712,0.03417112578633048,0.75,0.75,0.04341423370176926,0.875,0.875,,,,,,
90,32336,720,0.03718986750124411,0.75,0.75,,,,,,,,,
91,32664,728,0.03869466744821693,0.875,0.875,,,,,,,,,
92,32992,736,0.028233697688905525,1.0,1.0,,,,,,,,,
93,33256,744,0.0430590824913088,0.875,0.875,,,,,,,,,
94,33584,752,0.03015512516084709,0.875,0.875,,,,,,,,,
95,34040,760,0.03484478013672093,0.75,0.75,,,,,,,,,
96,34432,768,0.04013952304743726,0.75,0.75,,,,,,,,,
97,34696,776,0.03900031817669514,0.875,0.875,0.02759309477725765,0.875,0.875,,,,,,
98,35024,784,0.023737779781222344,1.0,1.0,,,,,,,,,
99,35416,792,0.03134750763323003,0.875,0.875,,,,,,,,,
100,35744,800,0.042365522540872926,0.625,0.625,,,,,,,,,
101,36008,808,0.040425494225492006,0.875,0.875,,,,,,,,,
102,36400,816,0.0349062354497922,0.875,0.875,,,,,,,,,
103,36728,824,0.0310767058157362,0.875,0.875,,,,,,,,,
104,37120,832,0.027440707283033893,1.0,1.0,,,,,,,,,
105,37448,840,0.03931403330503964,0.875,0.875,0.04343756687862333,0.75,0.75,,,,,,
106,37840,848,0.025747007708669122,1.0,1.0,,,,,,,,,
107,38168,856,0.02833767084071769,1.0,1.0,,,,,,,,,
108,38432,864,0.033531484747436474,1.0,1.0,,,,,,,,,
109,38760,872,0.029215473720803853,0.875,0.875,,,,,,,,,
110,39088,880,0.03046077121933922,1.0,1.0,,,,,,,,,
111,39480,888,0.036436168624810916,0.875,0.875,,,,,,,,,
112,39808,896,0.02916071202070452,0.875,0.875,,,,,,,,,
113,40136,904,0.03584762096730992,0.875,0.875,0.02638633412592753,1.0,1.0,,,,,,
114,40528,912,0.020127897453300344,1.0,1.0,,,,,,,,,
115,40728,920,0.05046733260290542,0.875,0.875,,,,,,,,,
116,41056,928,0.03184939371159999,0.875,0.875,,,,,,,,,
117,41320,936,0.021776585483203235,1.0,1.0,,,,,,,,,
118,41648,944,0.02767131267872173,1.0,1.0,,,,,,,,,
119,41976,952,0.024063032814767214,1.0,1.0,,,,,,,,,
120,42368,960,0.028171408523145754,0.875,0.875,,,,,,,,,
121,42760,968,0.02847603337024338,0.875,0.875,0.024068442211719228,1.0,1.0,,,,,,
122,43152,976,0.0350525972856849,0.875,0.875,,,,,,,,,
123,43480,984,0.03221533910697326,0.875,0.875,,,,,,,,,
124,43872,992,0.027453324225061814,1.0,1.0,,,,,,,,,
125,44200,1000,0.03879806959591224,0.875,0.875,,,,,,,,,
126,44656,1008,0.03455564925933556,0.875,0.875,,,,,,,,,
127,45048,1016,0.0207016509786384,1.0,1.0,,,,,,,,,
128,45440,1024,0.031971726384266125,0.875,0.875,,,,,,,,,
129,45896,1032,0.042173015187893605,0.75,0.75,0.019502190095129966,1.0,1.0,,,,,,
130,46224,1040,0.03757170876255259,0.75,0.75,,,,,,,,,
131,46552,1048,0.03383869866759052,0.875,0.875,,,,,,,,,
132,46880,1056,0.0256756726297026,0.875,0.875,,,,,,,,,
133,47272,1064,0.02612451973322701,0.875,0.875,,,,,,,,,
134,47664,1072,0.032550281786728495,0.875,0.875,,,,,,,,,
135,48056,1080,0.02582314848259557,0.875,0.875,,,,,,,,,
136,48512,1088,0.02627988083362912,0.875,0.875,,,,,,,,,
137,48840,1096,0.03281411742116325,0.875,0.875,0.019785052861164634,1.0,1.0,,,,,,
138,49232,1104,0.02507973677202244,1.0,1.0,,,,,,,,,
139,49496,1112,0.04154555501027062,0.75,0.75,,,,,,,,,
140,49824,1120,0.02577339708898217,1.0,1.0,,,,,,,,,
141,50280,1128,0.029795102189028904,1.0,1.0,,,,,,,,,
142,50672,1136,0.030262306896038354,1.0,1.0,,,,,,,,,
143,51128,1144,0.02817149959929338,0.875,0.875,,,,,,,,,
144,51520,1152,0.021140518337100123,1.0,1.0,,,,,,,,,
145,51912,1160,0.023102970826633585,1.0,1.0,0.027367212688783185,1.0,1.0,,,,,,
146,52304,1168,0.0394700782962415,0.875,0.875,,,,,,,,,
147,52696,1176,0.03607341172678086,0.75,0.75,,,,,,,,,
148,52960,1184,0.04154920623437647,0.875,0.875,,,,,,,,,
149,53224,1192,0.03669116288801888,0.875,0.875,,,,,,,,,
150,53424,1200,0.04993340514988328,0.875,0.875,,,,,,,,,
151,53688,1208,0.028642728371778507,1.0,1.0,,,,,,,,,
152,53952,1216,0.041305687628337175,0.875,0.875,,,,,,,,,
153,54344,1224,0.036410105186672204,0.875,0.875,0.029670358593866693,1.0,1.0,,,,,,
154,54608,1232,0.04197707825165707,0.875,0.875,,,,,,,,,
155,54936,1240,0.02794448035383539,1.0,1.0,,,,,,,,,
156,55264,1248,0.04426675972559315,0.625,0.625,,,,,,,,,
157,55592,1256,0.02648769778230417,1.0,1.0,,,,,,,,,
158,56112,1264,0.020376609184254445,1.0,1.0,,,,,,,,,
159,56504,1272,0.030975320743891647,0.75,0.75,,,,,,,,,
160,56896,1280,0.02573494614456043,1.0,1.0,,,,,,,,,
161,57160,1288,0.035430457908660166,0.875,0.875,0.040421580513939265,0.75,0.75,,,,,,
162,57552,1296,0.030766334113365396,0.875,0.875,,,,,,,,,
163,57944,1304,0.026897265627436964,0.875,0.875,,,,,,,,,
164,58272,1312,0.04682313861558214,0.875,0.875,,,,,,,,,
165,58664,1320,0.020976970323439065,1.0,1.0,,,,,,,,,
166,58992,1328,0.024821680652908983,1.0,1.0,,,,,,,,,
167,59384,1336,0.01643111355175885,1.0,1.0,,,,,,,,,
168,59712,1344,0.03599625435657799,0.875,0.875,,,,,,,,,
169,60168,1352,0.02030858564926998,1.0,1.0,0.04134169739244195,0.75,0.75,,,,,,
170,60432,1360,0.05339871636591852,0.75,0.75,,,,,,,,,
171,60696,1368,0.03180412955582142,0.875,0.875,,,,,,,,,
172,60832,1376,0.0539454519256833,0.875,0.875,,,,,,,,,
173,61160,1384,0.03118695738585666,1.0,1.0,,,,,,,,,
174,61488,1392,0.027138854837132388,1.0,1.0,,,,,,,,,
175,61880,1400,0.03330830447734722,0.875,0.875,,,,,,,,,
176,62208,1408,0.03226918545761146,0.875,0.875,,,,,,,,,
177,62536,1416,0.039687879832345056,0.875,0.875,0.04686077366268728,0.75,0.75,,,,,,
178,62800,1424,0.047591254242797726,0.75,0.75,,,,,,,,,
179,63128,1432,0.036423628791264484,0.875,0.875,,,,,,,,,
180,63520,1440,0.030966777004177853,1.0,1.0,,,,,,,,,
181,63784,1448,0.038329821734951114,0.875,0.875,,,,,,,,,
182,64112,1456,0.041282290080096574,0.75,0.75,,,,,,,,,
183,64440,1464,0.034039528827997864,0.75,0.75,,,,,,,,,
184,64768,1472,0.036542243817116286,0.875,0.875,,,,,,,,,
185,65032,1480,0.03397258126642555,0.875,0.875,0.036504751219326864,0.875,0.875,,,,,,
186,65424,1488,0.02610963416465287,0.875,0.875,,,,,,,,,
187,65752,1496,0.030821719387604397,0.875,0.875,,,,,,,,,
188,66080,1504,0.031670194270387586,0.875,0.875,,,,,,,,,
189,66344,1512,0.03436487347669754,0.875,0.875,,,,,,,,,
190,66672,1520,0.04460181359085254,0.875,0.875,,,,,,,,,
191,67000,1528,0.03714040897798259,0.875,0.875,,,,,,,,,
192,67392,1536,0.024440617277966037,0.875,0.875,,,,,,,,,
193,67656,1544,0.04265195380372461,0.75,0.75,0.03478592004549379,0.875,0.875,,,,,,
194,68112,1552,0.019862112508729164,1.0,1.0,,,,,,,,,
195,68504,1560,0.025115528584089285,1.0,1.0,,,,,,,,,
196,68832,1568,0.03537140582903521,0.875,0.875,,,,,,,,,
197,69096,1576,0.040072796604654286,0.875,0.875,,,,,,,,,
198,69424,1584,0.01928208561835345,1.0,1.0,,,,,,,,,
199,69816,1592,0.029902324253343975,1.0,1.0,,,,,,,,,
200,70016,1600,0.04785434718787049,0.875,0.875,,,,,,,,,
201,70344,1608,0.03562263224087656,0.875,0.875,0.026291777688078583,1.0,1.0,,,,,,
202,70672,1616,0.023730016584740957,1.0,1.0,,,,,,,,,
203,71128,1624,0.03553623877370617,0.875,0.875,,,,,,,,,
204,71456,1632,0.044731205197284005,0.75,0.75,,,,,,,,,
205,71784,1640,0.025284097210154864,1.0,1.0,,,,,,,,,
206,72048,1648,0.05165426682062389,0.75,0.75,,,,,,,,,
207,72376,1656,0.03190292980428785,0.875,0.875,,,,,,,,,
208,72704,1664,0.023610857740743084,1.0,1.0,,,,,,,,,
209,73032,1672,0.02639227232296253,1.0,1.0,0.024482084790506634,1.0,1.0,,,,,,
210,73488,1680,0.021879895873301268,0.875,0.875,,,,,,,,,
211,73816,1688,0.043371388563246,0.875,0.875,,,,,,,,,
212,74144,1696,0.044837368981912734,0.625,0.625,,,,,,,,,
213,74472,1704,0.03416303791786777,0.75,0.75,,,,,,,,,
214,74800,1712,0.03042117341730045,0.875,0.875,,,,,,,,,
215,75192,1720,0.03353877767978702,0.875,0.875,,,,,,,,,
216,75456,1728,0.025664335729488813,1.0,1.0,,,,,,,,,
217,75848,1736,0.02355206960977133,1.0,1.0,0.03265202734284685,0.875,0.875,,,,,,
218,76304,1744,0.02440269519154494,1.0,1.0,,,,,,,,,
219,76632,1752,0.03465394738977193,0.875,0.875,,,,,,,,,
220,77024,1760,0.024938688714270633,0.875,0.875,,,,,,,,,
221,77352,1768,0.028125829527620227,1.0,1.0,,,,,,,,,
222,77616,1776,0.05096102095310926,0.75,0.75,,,,,,,,,
223,77944,1784,0.022919368986506015,1.0,1.0,,,,,,,,,
224,78400,1792,0.018697275312276492,1.0,1.0,,,,,,,,,
225,78792,1800,0.03761521738426685,0.875,0.875,0.027901983330181488,1.0,1.0,,,,,,
226,79184,1808,0.03628954096629362,0.875,0.875,,,,,,,,,
